"Severity","ThreadID","Date","Time","Application","Message"
"INFO","main","08/28/2019","22:25:10","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:25:10","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:25:10","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-13","08/28/2019","22:25:15","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-13","08/28/2019","22:25:15","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-13","08/28/2019","22:25:15","lucee.runtime.engine.Controler","- max size 	[1073741824]"
"WARN","Thread-13","08/28/2019","22:25:15","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/cache]"
"WARN","Thread-13","08/28/2019","22:25:15","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-13","08/28/2019","22:25:15","lucee.runtime.engine.Controler","- max size 	[104857600]"
"INFO","main","08/28/2019","22:28:46","lucee.runtime.CFMLFactoryImpl","Reset 1 Unused PageContexts"
"INFO","main","08/28/2019","22:29:10","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:29:10","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:29:10","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-10","08/28/2019","22:29:15","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-10","08/28/2019","22:29:15","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-10","08/28/2019","22:29:15","lucee.runtime.engine.Controler","- max size 	[1073741824]"
"WARN","Thread-10","08/28/2019","22:29:15","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/cache]"
"WARN","Thread-10","08/28/2019","22:29:15","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-10","08/28/2019","22:29:15","lucee.runtime.engine.Controler","- max size 	[104857600]"
"INFO","main","08/28/2019","22:30:11","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:30:11","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:30:11","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"INFO","main","08/28/2019","22:30:11","lucee.runtime.CFMLFactoryImpl","Reset 0 Unused PageContexts"
"INFO","main","08/28/2019","22:32:59","lucee.runtime.CFMLFactoryImpl","Reset 1 Unused PageContexts"
"INFO","main","08/28/2019","22:33:29","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:33:29","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:33:29","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-9","08/28/2019","22:33:34","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-9","08/28/2019","22:33:34","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-9","08/28/2019","22:33:34","lucee.runtime.engine.Controler","- max size 	[1073741824]"
"WARN","Thread-9","08/28/2019","22:33:34","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/cache]"
"WARN","Thread-9","08/28/2019","22:33:34","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-9","08/28/2019","22:33:34","lucee.runtime.engine.Controler","- max size 	[104857600]"
"INFO","main","08/28/2019","22:34:14","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:34:14","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:34:14","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"INFO","main","08/28/2019","22:34:14","lucee.runtime.CFMLFactoryImpl","Reset 0 Unused PageContexts"
"INFO","main","08/28/2019","22:34:48","lucee.runtime.CFMLFactoryImpl","Reset 1 Unused PageContexts"
"INFO","main","08/28/2019","22:36:34","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:36:34","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:36:34","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"INFO","main","08/28/2019","22:36:38","lucee.runtime.CFMLFactoryImpl","Reset 0 Unused PageContexts"
"INFO","main","08/28/2019","22:38:56","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:38:56","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:38:56","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-9","08/28/2019","22:39:01","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-9","08/28/2019","22:39:01","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-9","08/28/2019","22:39:01","lucee.runtime.engine.Controler","- max size 	[1073741824]"
"WARN","Thread-9","08/28/2019","22:39:01","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/cache]"
"WARN","Thread-9","08/28/2019","22:39:01","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-9","08/28/2019","22:39:01","lucee.runtime.engine.Controler","- max size 	[104857600]"
"INFO","main","08/28/2019","22:39:13","lucee.runtime.CFMLFactoryImpl","Reset 0 Unused PageContexts"
"INFO","main","08/28/2019","22:39:32","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:39:32","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:39:32","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-9","08/28/2019","22:39:37","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-9","08/28/2019","22:39:37","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-9","08/28/2019","22:39:37","lucee.runtime.engine.Controler","- max size 	[1073741824]"
"WARN","Thread-9","08/28/2019","22:39:37","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/cache]"
"WARN","Thread-9","08/28/2019","22:39:37","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-9","08/28/2019","22:39:37","lucee.runtime.engine.Controler","- max size 	[104857600]"
"INFO","main","08/28/2019","22:39:50","lucee.runtime.CFMLFactoryImpl","Reset 1 Unused PageContexts"
"INFO","main","08/28/2019","22:41:21","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:41:21","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:41:21","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-9","08/28/2019","22:41:26","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-9","08/28/2019","22:41:26","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-9","08/28/2019","22:41:26","lucee.runtime.engine.Controler","- max size 	[1073741824]"
"WARN","Thread-9","08/28/2019","22:41:26","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/cache]"
"WARN","Thread-9","08/28/2019","22:41:26","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-9","08/28/2019","22:41:26","lucee.runtime.engine.Controler","- max size 	[104857600]"
"INFO","main","08/28/2019","22:42:48","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:42:48","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:42:48","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"INFO","main","08/28/2019","22:42:48","lucee.runtime.CFMLFactoryImpl","Reset 0 Unused PageContexts"
"INFO","main","08/28/2019","22:43:19","lucee.runtime.CFMLFactoryImpl","Reset 6 Unused PageContexts"
"INFO","main","08/28/2019","22:43:41","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","22:43:41","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","22:43:41","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-10","08/28/2019","22:43:46","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-10","08/28/2019","22:43:46","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-10","08/28/2019","22:43:46","lucee.runtime.engine.Controler","- max size 	[1073741824]"
"WARN","Thread-10","08/28/2019","22:43:46","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/electron-run-shell-example/lucee/webapps/ROOT/WEB-INF/lucee/cache]"
"WARN","Thread-10","08/28/2019","22:43:46","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-10","08/28/2019","22:43:46","lucee.runtime.engine.Controler","- max size 	[104857600]"
"INFO","main","08/28/2019","22:43:55","lucee.runtime.CFMLFactoryImpl","Reset 1 Unused PageContexts"
"INFO","main","08/28/2019","23:04:03","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","23:04:04","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","23:04:04","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-9","08/28/2019","23:04:28","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-9","08/28/2019","23:04:28","lucee.runtime.engine.Controler","- current size	[2374956]"
"WARN","Thread-9","08/28/2019","23:04:28","lucee.runtime.engine.Controler","- max size 	[1073741824]"
"WARN","Thread-9","08/28/2019","23:04:28","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/cache]"
"WARN","Thread-9","08/28/2019","23:04:28","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-9","08/28/2019","23:04:28","lucee.runtime.engine.Controler","- max size 	[104857600]"
"INFO","main","08/28/2019","23:04:32","lucee.runtime.CFMLFactoryImpl","Reset 1 Unused PageContexts"
"INFO","main","08/28/2019","23:04:42","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","23:04:42","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","23:04:42","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-10","08/28/2019","23:04:47","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-10","08/28/2019","23:04:47","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-10","08/28/2019","23:04:47","lucee.runtime.engine.Controler","- max size 	[1073741824]"
"WARN","Thread-10","08/28/2019","23:04:47","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/cache]"
"WARN","Thread-10","08/28/2019","23:04:47","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-10","08/28/2019","23:04:47","lucee.runtime.engine.Controler","- max size 	[104857600]"
"INFO","main","08/28/2019","23:04:50","lucee.runtime.CFMLFactoryImpl","Reset 1 Unused PageContexts"
"INFO","main","08/28/2019","23:13:37","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","08/28/2019","23:13:37","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","08/28/2019","23:13:37","OSGi","add bundle:/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-10","08/28/2019","23:13:42","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-10","08/28/2019","23:13:42","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-10","08/28/2019","23:13:42","lucee.runtime.engine.Controler","- max size 	[1073741824]"
"WARN","Thread-10","08/28/2019","23:13:42","lucee.runtime.engine.Controler","check size of directory [/Users/coryfail/Dropbox/Development/electron/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/cache]"
"WARN","Thread-10","08/28/2019","23:13:42","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-10","08/28/2019","23:13:42","lucee.runtime.engine.Controler","- max size 	[104857600]"
"INFO","main","08/28/2019","23:16:56","lucee.runtime.CFMLFactoryImpl","Reset 6 Unused PageContexts"
"INFO","main","06/09/2025","18:36:00","OSGi","add bundle:/media/rbrown/LocalDisk/Public/R_work/elec/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-admin.lar"
"INFO","main","06/09/2025","18:36:00","OSGi","add bundle:/media/rbrown/LocalDisk/Public/R_work/elec/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-doc.lar"
"INFO","main","06/09/2025","18:36:00","OSGi","add bundle:/media/rbrown/LocalDisk/Public/R_work/elec/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/context/lucee-context.lar"
"WARN","Thread-8","06/09/2025","18:36:05","lucee.runtime.engine.Controler","check size of directory [/media/rbrown/LocalDisk/Public/R_work/elec/lucee-electron/lucee/webapps/ROOT/WEB-INF/lucee/temp]"
"WARN","Thread-8","06/09/2025","18:36:05","lucee.runtime.engine.Controler","- current size	[0]"
"WARN","Thread-8","06/09/2025","18:36:05","lucee.runtime.engine.Controler","- max size 	[1073741824]"
